Parça_Kodu,r_optimal,Q_optimal,SS_optimal,grid_r,grid_Q,ml_total_cost,ml_holding_cost,ml_ordering_cost,ml_stockout_cost,ml_service_level,ml_num_orders,ml_avg_inventory,r_eoq,Q_eoq,SS_eoq,eoq_total_cost,eoq_holding_cost,eoq_ordering_cost,eoq_stockout_cost,eoq_service_level,eoq_num_orders,eoq_avg_inventory,abs_saving,pct_saving,ABC,XYZ,Segment,Model_Grubu,champion,WAPE,sMAPE
Part-1761,1200,186,13.2,1295,178,57683.409093513954,19362.480279413307,5267.5,33053.428814100655,0.9586118248853053,124,225.87527448511827,2161,158,951.2,102846.12532246571,96371.12532246571,6475.0,0.0,1.0,154,1124.22861485343,45162.71622895176,43.91290006050079,C,X,CX,Global_ML,RandomForest,28.122995547685182,28.2656726463406
Part-1762,12634,1224,1407.1,12248,1684,4393477.338284789,2550735.8425537427,7857.5,1834883.995731046,0.9768015942942891,187,2782.5221649083405,27261,148,16005.5,15254210.037668113,15187100.037668113,67110.0,0.0,1.0,1606,16567.157512156795,10860732.699383324,71.19826377481549,B,Z,BZ,Aralıklı_Croston,RandomForest,61.07483921989022,90.71265993999667
Part-1763,1883,332,0.0,2071,285,86743.86359757814,19658.765797379263,7278.75,59806.3478001989,0.9450971639434951,113,305.05949184666105,2753,250,1245.8,76577.5862930033,66373.83629300329,10203.75,0.0,1.0,158,1029.9715139877364,-10166.277304574833,-13.275787076490422,C,Y,CY,Global_ML,HareketliOrtalama,24.770957398076042,25.849752326746668
Part-1764,1455,218,91.3,1488,205,75625.97309928377,34201.10900745553,8040.0,33384.86409182824,0.9743577346963661,125,291.70981620707255,2188,172,891.3,123981.95997790337,113508.2099779034,10473.75,0.0,1.0,164,968.1399238670889,48355.9868786196,39.00243784437496,C,X,CX,Global_ML,CatBoost,24.318284741097386,28.001753431524296
Part-1765,361,37,2.4,391,54,196939.51693673345,61416.06399567061,16625.0,118898.45294106283,0.9539745981898731,194,46.446672894996425,1026,32,646.2,937264.3086005937,917164.3086005937,20100.0,0.0,1.0,234,693.6170744439153,740324.7916638602,78.98783564789967,C,Z,CZ,Global_ML,Croston-SBA,100.0,131.06191828005745
Part-1766,392,192,33.2,391,154,22941.953005118772,9087.345951482925,9080.0,4774.607053635846,0.9903698572530184,107,175.1581693320636,1496,260,1149.4,74581.3812237358,67806.3812237358,6775.0,0.0,1.0,80,1306.964835232606,51639.42821861703,69.23903442295406,C,Z,CZ,Aralıklı_Croston,CatBoost,281.1651405836786,174.0304799867951
Part-1767,145,72,13.4,144,56,6968.3442952358255,3288.5893053000627,2253.75,1426.004989935763,0.9923468233840154,107,63.80803016950457,488,73,379.7,23171.79138849813,20930.54138849813,2241.25,0.0,1.0,107,406.1123151586404,16203.447093262306,69.92746836701315,C,Z,CZ,Düşük_Hacim_Basit,RandomForest,66.59410859760257,91.73828937138003
Part-1768,27398,3585,421.9,29428,4046,14237681.693899516,7659301.52530461,6192.5,6572187.66859491,0.9643881633019555,146,5000.044080977685,38810,176,12174.4,21057342.968419947,20925747.968419947,131595.0,0.0,1.0,3146,13660.470465075196,6819661.274520431,32.38614332657255,B,X,BX,Global_ML,RandomForest,8.44327878164786,8.444181866256324
Part-1769,261,54,4.0,280,39,17046.32264094698,4802.997921625108,4077.5,8165.82471932187,0.9606328166919995,95,49.91891080095938,413,51,274.7,22853.46112660605,18368.46112660605,4485.0,0.0,1.0,105,190.90859240257384,5807.13848565907,25.410323860740668,C,Z,CZ,Aralıklı_Croston,LightGBM,40.908865067526115,50.94162091394221
Part-177,11291,1141,1333.2,10863,1494,492266.55412357516,366840.9431699209,7347.5,118078.11095365435,0.9886968502245643,175,2724.387401856661,14105,361,4219.3,699957.897390146,676455.397390146,23502.5,0.0,1.0,565,5023.7755541752895,207691.34326657088,29.671976563299896,B,X,BX,Global_ML,CatBoost,13.723100913621442,13.880728247471882
