Parça_Kodu,champion,votes,MAE,RMSE,WAPE,sMAPE
Part-1705,RandomForest,4,1464.0849403402663,1625.9156809664285,15.35323972672259,16.881580825915997
Part-1706,LightGBM,3,665.0284328859867,998.4864005834711,43.02070724868917,50.32454262608474
Part-1707,XGBoost,3,270.44933064778644,355.74359630488794,97.81169282017594,103.51996660485352
Part-1708,CatBoost,3,1142.8336546069738,1427.3382319694522,42.29845122226786,58.762505723345214
Part-1709,LightGBM,4,717.0774705454882,813.9837721875986,96.16595492340029,117.15691112413205
Part-171,UstelDuzeltme,4,2795.3977020087063,3102.132887812833,8.801907182243479,8.726081331481307
Part-1710,LightGBM,4,573.3048879490817,623.2774253859822,57.53185027085617,80.44958623301069
Part-1711,RandomForest,4,17379.450926734284,20232.424640342993,32.13873769807054,34.792175775920384
Part-1712,CatBoost,3,796.0506340286262,807.6446846271309,92.31356405434397,127.01941622657962
Part-1713,UstelDuzeltme,4,1116.8289439274404,1293.350759040423,42.424651241308275,57.67553986902669
Part-1714,HareketliOrtalama,3,713.0,723.6430980347517,157.85977859778598,150.96234485807827
Part-1715,RandomForest,3,66.67024306711782,74.62505118105513,92.81240334169534,114.21400238086422
Part-1716,CatBoost,4,1169.3253563771666,1234.9236291975003,58.883358273294164,84.87351018659615
Part-1717,CatBoost,4,1401.0640901695233,1405.3589801949427,141.95178218536205,151.9697482561149
Part-1718,CatBoost,3,1023.0542238863442,1198.9662284460637,42.65688216343339,57.78564209533179
Part-1719,LightGBM,3,461.9940698563217,657.742805041392,22.771415584801858,21.557268420185515
Part-172,Croston-SBA,3,12255.420744297735,14300.71664482768,41.03789692367894,36.818072274317096
Part-1720,Croston-SBA,3,1066.5,1151.2827798712801,37.59031898020325,39.15769351421955
Part-1721,CatBoost,3,985.1815928989132,1126.7308454162644,106.96868543962141,112.93312646275031
Part-1722,Croston-SBA,3,1371.649630980297,1487.6068030542667,143.3280701128837,157.43919854545496
Part-1723,CatBoost,3,469.9265000207979,716.004135111566,34.26368939269398,46.86311528481788
Part-1724,RandomForest,4,5443.112538461708,7236.713304352339,12.969621908180507,12.562196928934268
Part-1725,CatBoost,3,1136.060104498027,1227.4964552081321,75.48572122910478,97.49204316265562
Part-1726,LightGBM,3,199.65228075441982,250.00872210831747,61.93969413270521,81.99961963137523
Part-1727,CatBoost,4,809.7486438420825,877.1075534456136,93.97469754453569,119.55417649450932
Part-1728,HareketliOrtalama,4,1041.7222222222224,1218.907320330613,51.54914089347079,66.0677777977075
Part-1729,LightGBM,3,1198.5235382543751,1307.905453314671,168.13517020168928,141.26049540156998
Part-173,HareketliOrtalama,4,10524.5,13112.675578741866,21.652899363240785,23.494297528415395
Part-1730,HareketliOrtalama,4,7986.722222222222,9615.33780246724,19.533567310579656,19.951986466054418
Part-1731,XGBoost,3,427.093505859375,730.2368967741429,27.369016716396988,40.726393783730316
Part-1732,LightGBM,3,9671.24639332538,10290.309208773122,30.0701018582567,34.6859460793592
Part-1733,Croston-SBA,3,324.6801829502861,327.1726882305152,155.59753176531282,152.27734840782853
Part-1734,HareketliOrtalama,3,9337.0,11884.062838758282,60.67189395252123,79.83399862473351
Part-1735,HareketliOrtalama,4,538.6666666666666,704.5651140952126,36.08753907994641,51.09161132147907
Part-1736,CatBoost,3,512.216565850755,550.864928261876,97.07199605510203,121.07260890362272
Part-1737,CatBoost,4,1715.0364857608936,1988.1848867438573,15.069957258124806,16.344849090230714
Part-1738,CatBoost,4,294.7866076191115,360.5110026179791,27.98607034358654,31.403581814045527
